0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,label
-80.0,-0.7243099,-7.5609627,-14.138866,-80.0,-26.234507,-80.0,-11.440865,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-12.03281,-14.654705,-24.945639,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-20.627981,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-19.886541,-12.469181,-9.577409,-10.535108,-11.703299,-20.804226,-80.0,-80.0,-19.309353,-16.140388,-16.688961,-18.283464,-80.0,-80.0,-80.0,-80.0,-80.0,-19.96829,-26.074791,-80.0,-17.181955,-80.0,-80.0,-26.511593,-80.0,-80.0,-80.0,-80.0,0
-80.0,-1.70574,-6.6564445,-5.7442417,-10.967482,-8.594978,-14.175578,-80.0,-16.79727,-80.0,-80.0,-14.472017,-13.298467,-12.687727,-12.308022,-15.67298,-80.0,-80.0,-28.544659,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-30.194225,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-27.270536,-15.572807,-12.612608,-15.283493,-18.790762,-21.637806,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-13.521988,-16.345907,-17.97685,-16.525635,-80.0,-80.0,-18.62323,-80.0,-20.587053,-18.944279,-80.0,-80.0,0
-80.0,-2.2300358,-80.0,-80.0,-80.0,-8.275158,-11.492958,-10.858344,-80.0,-80.0,-80.0,-12.548982,-28.85282,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-20.273226,-17.327414,-80.0,-19.80623,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-14.337769,-11.61655,-13.079107,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-13.689968,-80.0,-80.0,-80.0,-15.757187,-80.0,-80.0,-80.0,-16.643444,-15.88117,-38.600662,-80.0,-15.857985,-21.297045,-20.93195,-80.0,-16.050861,0
-80.0,-0.9748287,-80.0,-16.397718,-80.0,-13.244819,-13.923389,-80.0,-80.0,-80.0,-80.0,-9.519524,-10.50897,-11.655586,-80.0,-80.0,-80.0,-80.0,-16.196404,-80.0,-80.0,-80.0,-80.0,-80.0,-12.533233,-12.10912,-9.892463,-11.646965,-80.0,-80.0,-80.0,-80.0,-80.0,-14.611775,-80.0,-80.0,-22.584032,-16.983551,-80.0,-80.0,-80.0,-80.0,-16.134947,-80.0,-80.0,-17.119432,-80.0,-80.0,-80.0,-16.907116,-15.435324,-11.701036,-23.33575,-80.0,-21.816708,-80.0,-80.0,-14.483879,-80.0,-80.0,-80.0,-80.0,-80.0,-22.651981,0
-80.0,-2.5084114,-10.154984,-13.921521,-80.0,-6.8767805,-9.217988,-7.708432,-9.206919,-80.0,-80.0,-14.874022,-11.164917,-9.860341,-15.797131,-80.0,-14.680874,-17.803465,-11.138582,-80.0,-14.673636,-16.4701,-80.0,-16.562277,-80.0,-10.941555,-15.058994,-80.0,-36.132286,-11.862193,-80.0,-19.62661,-80.0,-80.0,-80.0,-17.249338,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-14.879566,-19.031727,-19.938074,-16.323711,-25.947397,-17.266348,-18.20444,-13.8733225,-80.0,-80.0,-80.0,-19.076513,-80.0,-17.744953,-17.43134,-16.520412,-80.0,-80.0,-80.0,-80.0,0
-80.0,-1.0656395,-80.0,-7.12232,-80.0,-10.518955,-80.0,-11.845729,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-15.0859165,-21.571321,-80.0,-80.0,-80.0,-24.469784,-80.0,-80.0,-18.554873,-80.0,-80.0,-80.0,-80.0,-23.256437,-80.0,-80.0,-22.71471,-23.757313,-14.317211,-80.0,-27.40336,-28.814632,-80.0,-80.0,-80.0,-80.0,-23.644539,-20.901203,-17.470133,-15.862933,-80.0,-80.0,-24.261623,-15.734205,-18.344658,-80.0,-25.630985,0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,0
-80.0,-0.9231739,-80.0,-12.468442,-80.0,-10.052625,-17.732288,-13.322997,-9.247642,-13.665582,-80.0,-14.279071,-80.0,-18.19504,-80.0,-9.664806,-80.0,-80.0,-27.560244,-80.0,-80.0,-80.0,-80.0,-10.675526,-9.565369,-10.087892,-80.0,-80.0,-80.0,-13.8367815,-12.362952,-80.0,-80.0,-27.513792,-21.822906,-80.0,-15.666168,-80.0,-80.0,-80.0,-19.544422,-80.0,-80.0,-80.0,-80.0,-13.071464,-80.0,-17.299843,-12.070499,-80.0,-80.0,-17.633709,-22.515276,-80.0,-80.0,-14.876474,-80.0,-80.0,-80.0,-13.734335,-19.413517,-80.0,-21.11261,-12.676914,0
-80.0,-1.7040653,-80.0,-80.0,-80.0,-14.964246,-8.2970295,-13.579795,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-23.35022,-80.0,-80.0,-23.01207,-22.885607,-20.658552,-10.5343,-8.764143,-11.07779,-13.010671,-80.0,-80.0,-80.0,-13.708605,-13.953604,-80.0,-80.0,-80.0,-80.0,-19.085838,-26.592716,-80.0,-80.0,-13.991657,-18.201517,-80.0,-80.0,-19.309362,-21.678291,-80.0,-13.919523,-13.607926,-13.509355,-19.43323,-80.0,-80.0,-17.611042,-80.0,-80.0,-16.565243,-21.687315,-80.0,-22.430729,-13.733965,-80.0,-80.0,-24.681997,-21.049095,0
-80.0,-1.6988525,-6.479519,-7.3664036,-9.371271,-9.966811,-80.0,-13.889748,-80.0,-14.708322,-80.0,-80.0,-80.0,-80.0,-23.815966,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-16.531963,-80.0,-17.744148,-80.0,-14.545928,-20.29771,-80.0,-14.468142,-16.492374,-13.66469,-15.929338,-24.195915,-80.0,-26.279898,-80.0,-19.100826,-21.86099,-18.054703,-15.433576,-80.0,-80.0,-19.80145,-80.0,-80.0,-21.535265,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-38.124306,0
